#Q A
0.0303174125 22.019848357683127
0.042468237500000006 21.273610267569524
0.054619062499999996 15.366451802807338
0.0667698875 12.606920753565353
0.0789207125 9.989128509547461
0.0910715375 7.153347077187333
0.1032223625 5.1414690571207
0.1153731875 3.3969532226446852
0.1275240125 1.8135365033972974
0.1396748375 0.6166496854301743
0.1518256625 -0.27663299144002546
0.1639764875 -0.9631440376450823
0.1761273125 -1.3672276628983873
0.1882781375 -1.5757928081573118
0.2004289625 -1.542928321633634
0.2125797875 -1.3321249271706788
0.2247306125 -0.9035584804517287
0.2368814375 -0.37608139484802616
0.24903226250000002 0.26303492071451345
0.2611830875 1.034398779176774
0.2733339125 1.8626784728982297
0.28548473750000003 2.8276335204045995
0.2976355625 3.8478398584283044
0.3097863875 4.665091926288318
0.32193721249999996 5.557954201083386
0.3340880375 6.339298013243755
0.3462388625 6.961514012632767
0.3583896875 7.3453650798733054
0.3705405125 7.7251730412945685
0.3826913375 7.690447382131442
0.39484216250000004 7.700816355298777
0.4069929875 7.913644648874238
0.4191438125 8.017187051152519
0.43129463749999997 7.955330933883795
0.4434454625 8.120959608969747
0.45559628750000003 8.267550474002139
0.4677471125 8.450520001038063
0.4798979375 8.887638845052237
0.4920487625 9.140348688685982
0.5041995875 9.347474252753383
0.5163504125 9.711646254536959
0.5285012375 10.056948529489105
0.5406520625 10.135427496628175
0.5528028875 9.898679891611662
0.5649537125 10.18007520815768
0.5771045375 10.425506023162795
0.5892553625 10.135427496628175
0.6014061875 10.225504880709126
0.6135570125 9.826952704189322
0.6257078375 9.440601054080018
0.6378586625 9.182923562358646
0.6500094875 8.73360163654168
0.6621603125 8.203708826693173
0.6743111375 7.756828636863446
0.6864619625 7.092374936741256
0.6986127875 6.382686781117336
0.7107636125 5.8009442765969865
0.7229144375000001 4.868425498639219
0.7350652625 4.1213159259035885
0.7472160875 3.232880884229911
0.7593669125 2.394870503382807
0.7715177375 1.4754059820014243
0.7836685625 0.6011269998469391
0.7958193875 -0.2745534018001036
0.8079702125 -1.113571499222709
0.8201210375 -1.8625585558878512
0.8322718625000001 -2.5936120601336023
0.8444226875 -3.246793331479032
0.8565735125 -3.7875044959693733
0.8687243375 -4.247270878736539
0.8808751625 -4.567540091292568
0.8930259875000001 -4.800520602874495
0.9051768125 -4.910289831626595
0.9173276375 -4.872093528524061
0.9294784625 -4.602924872902719
0.9416292875000001 -4.005303569143124
0.9537801125 -3.039517033401109
0.9659309375 -1.316857769563825
0.9780817625 1.9168635046889093
0.9902325875 8.627504417500075
