#Ree A
0.38616668125000003 23.458627096239496
0.5131200437500001 20.657348769912925
0.64007340625 20.29268368862398
0.7670267687500001 18.670611727540923
0.89398013125 18.31005309425645
1.0209334937499999 17.161125860133797
1.14788685625 16.45331762846411
1.27484021875 15.673422391464626
1.4017935812500002 14.80985356465535
1.52874694375 12.938420923862207
1.65570030625 10.635023121814491
1.78265366875 8.872708210404298
1.9096070312500002 6.8791643818688915
2.0365603937500003 6.9012325828443455
2.16351375625 8.404637029545023
2.29046711875 6.215483937951573
2.41742048125 1.0672667660899944
2.5443738437500003 -1.2837612003383958
2.67132720625 -3.2395480266815917
2.79828056875 4.350304107722452
2.92523393125 12.295968129355167
3.0521872937500003 11.949835592150635
3.17914065625 11.566839095895658
3.30609401875 11.1743443045344
3.43304738125 11.01969114598144
3.5600007437500003 10.68795249089698
3.68695410625 10.493098877302517
3.81390746875 10.213967927196558
3.94086083125 9.916412284942314
4.067814193749999 9.606996101315207
4.1947675562499995 9.474288546013286
4.32172091875 9.322521407897032
4.44867428125 9.09439190474806
4.57562764375 8.91364987456393
4.70258100625 8.717564466885337
4.82953436875 8.498941328158093
4.95648773125 8.34787021238193
5.083441093749999 8.150536958522247
5.2103944562499995 8.016853118843853
5.33734781875 7.899724056720041
5.46430118125 7.706672448984938
5.59125454375 7.579289816657512
5.71820790625 7.399375792343695
5.845161268749999 7.3387090577828795
5.972114631249999 7.261457969258588
6.099067993749999 7.253076805262975
6.2260213562499995 7.1913389960406215
6.35297471875 7.179111606302033
6.47992808125 7.352004076079268
6.60688144375 7.487925965311939
6.73383480625 7.735401815161628
6.86078816875 7.9248979351508
6.98774153125 8.110634990003888
7.114694893749999 8.297320356775892
7.2416482562499995 8.533894265092975
7.36860161875 8.818085491249079
7.49555498125 9.085331976742959
7.62250834375 9.338052336822042
7.74946170625 9.639686303638195
7.876415068749999 9.972300269273264
8.00336843125 10.344723714630586
8.13032179375 10.710064793664793
8.25727515625 11.014929386039391
8.38422851875 11.627876453201784
8.51118188125 12.066692901588508
8.63813524375 12.746008893067428
8.76508860625 13.26242443673174
8.89204196875 14.000190114305175
9.01899533125 14.748935665223016
9.14594869375 15.306526343738902
9.27290205625 15.859050065645642
9.39985541875 16.965261685169356
9.52680878125 17.603722991295022
9.653762143749999 18.693466218996285
9.780715506249999 19.722375243090042
9.90766886875 22.221501314807547
10.03462223125 22.822787284020592
10.16157559375 22.60649805864418
10.28852895625 24.302762389450113
10.41548231875 26.781328501485042
